Designator,Mid X,Mid Y,Rotation,Layer
C1,151.25,-79.0,180.0,bottom
R1,145.0,-80.3,0.0,bottom
R11,153.1,-81.2,180.0,bottom
R2,145.0,-78.5,0.0,bottom
R3,147.0,-71.0,0.0,bottom
R4,153.1,-74.5,180.0,bottom
R5,150.9,-81.5,180.0,bottom
R6,145.2,-81.5,0.0,bottom
R8,153.1,-77.7,90.0,bottom
SW1,150.01875,-74.085,0.0,top
U1,148.11,-79.86,0.0,bottom
U2,143.005,-73.125,270.0,bottom
U3,153.09375,-69.155,0.0,bottom
U4,141.805,-79.275,90.0,bottom
U5,146.94375,-67.955,180.0,bottom
U6,158.25,-73.125,270.0,bottom
U7,157.045,-79.275,90.0,bottom
U8,146.94375,-83.245,180.0,bottom
U9,153.09375,-84.45,0.0,bottom
